main::558->Listening to port 4567
Reset::268->Twiddle Updating:it=0,p=[0.000000,0.000000,0.000000],dp=[1.000000,1.000000,1.000000],best_err=1000.000000,err=457.557573
Reset::272->Twiddle Ignoring:it=187,p=[0.351117,0.000000,6.187046],dp=[0.125908,0.030903,0.170986],best_err=0.316376,err=0.396902
Reset::272->Twiddle Ignoring:it=188,p=[0.477025,0.000000,6.358032],dp=[0.125908,0.030903,0.153888],best_err=0.316376,err=0.572274
Reset::272->Twiddle Ignoring:it=189,p=[0.225209,0.000000,6.358032],dp=[0.125908,0.030903,0.153888],best_err=0.316376,err=39.506253
Reset::272->Twiddle Ignoring:it=190,p=[0.351117,0.030903,6.358032],dp=[0.113317,0.030903,0.153888],best_err=0.316376,err=501.633149
Reset::272->Twiddle Ignoring:it=191,p=[0.351117,-0.030903,6.358032],dp=[0.113317,0.030903,0.153888],best_err=0.316376,err=1009.295583
Reset::272->Twiddle Ignoring:it=192,p=[0.351117,0.000000,6.511920],dp=[0.113317,0.027813,0.153888],best_err=0.316376,err=18.961292
Reset::272->Twiddle Ignoring:it=193,p=[0.351117,0.000000,6.204144],dp=[0.113317,0.027813,0.153888],best_err=0.316376,err=54.294958
Reset::272->Twiddle Ignoring:it=194,p=[0.464434,0.000000,6.358032],dp=[0.113317,0.027813,0.138499],best_err=0.316376,err=10.485313
Reset::272->Twiddle Ignoring:it=195,p=[0.237799,0.000000,6.358032],dp=[0.113317,0.027813,0.138499],best_err=0.316376,err=0.480068
Reset::272->Twiddle Ignoring:it=196,p=[0.351117,0.027813,6.358032],dp=[0.101986,0.027813,0.138499],best_err=0.316376,err=425.879330
Reset::272->Twiddle Ignoring:it=197,p=[0.351117,-0.027813,6.358032],dp=[0.101986,0.027813,0.138499],best_err=0.316376,err=879.652152
Reset::272->Twiddle Ignoring:it=198,p=[0.351117,0.000000,6.496531],dp=[0.101986,0.025032,0.138499],best_err=0.316376,err=0.498971
Reset::272->Twiddle Ignoring:it=199,p=[0.351117,0.000000,6.219533],dp=[0.101986,0.025032,0.138499],best_err=0.316376,err=10.063490
Reset::272->Twiddle Ignoring:it=200,p=[0.453102,0.000000,6.358032],dp=[0.101986,0.025032,0.124649],best_err=0.316376,err=0.609536
Reset::272->Twiddle Ignoring:it=201,p=[0.249131,0.000000,6.358032],dp=[0.101986,0.025032,0.124649],best_err=0.316376,err=44.285440
Reset::272->Twiddle Ignoring:it=202,p=[0.351117,0.025032,6.358032],dp=[0.091787,0.025032,0.124649],best_err=0.316376,err=479.367750
Reset::272->Twiddle Ignoring:it=203,p=[0.351117,-0.025032,6.358032],dp=[0.091787,0.025032,0.124649],best_err=0.316376,err=878.325454
Reset::272->Twiddle Ignoring:it=204,p=[0.351117,0.000000,6.482681],dp=[0.091787,0.022528,0.124649],best_err=0.316376,err=0.454738
Reset::272->Twiddle Ignoring:it=205,p=[0.351117,0.000000,6.233383],dp=[0.091787,0.022528,0.124649],best_err=0.316376,err=0.423600
Reset::272->Twiddle Ignoring:it=206,p=[0.442904,0.000000,6.358032],dp=[0.091787,0.022528,0.112184],best_err=0.316376,err=0.376901
Reset::272->Twiddle Ignoring:it=207,p=[0.259330,0.000000,6.358032],dp=[0.091787,0.022528,0.112184],best_err=0.316376,err=0.477954
Reset::272->Twiddle Ignoring:it=208,p=[0.351117,0.022528,6.358032],dp=[0.082608,0.022528,0.112184],best_err=0.316376,err=23.075229
Reset::272->Twiddle Ignoring:it=209,p=[0.351117,-0.022528,6.358032],dp=[0.082608,0.022528,0.112184],best_err=0.316376,err=866.644201
Reset::272->Twiddle Ignoring:it=210,p=[0.351117,0.000000,6.470216],dp=[0.082608,0.020276,0.112184],best_err=0.316376,err=0.487446
Reset::272->Twiddle Ignoring:it=211,p=[0.351117,0.000000,6.245848],dp=[0.082608,0.020276,0.112184],best_err=0.316376,err=55.715933
Reset::272->Twiddle Ignoring:it=212,p=[0.433725,0.000000,6.358032],dp=[0.082608,0.020276,0.100966],best_err=0.316376,err=52.036021
Reset::272->Twiddle Ignoring:it=213,p=[0.268508,0.000000,6.358032],dp=[0.082608,0.020276,0.100966],best_err=0.316376,err=22.529364
Reset::364->Finished Twiddling
Reset::272->Twiddle Ignoring:it=213,p=[0.351117,0.020276,6.358032],dp=[0.074348,0.020276,0.100966],best_err=0.316376,err=0.346273
Reset::364->Finished Twiddling
Reset::272->Twiddle Ignoring:it=213,p=[0.351117,-0.020276,6.358032],dp=[0.074348,0.020276,0.100966],best_err=0.316376,err=0.380378
Reset::364->Finished Twiddling
